ts_code,industry_name,trade_date,stage,action,radar_score,status_note,stage_5d_ago,stage_20d_ago,migration
801724.SI,专业工程,2026-05-21,潜伏观察,观察验证,32.70983180347932,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801143.SI,造纸,2026-05-21,潜伏观察,观察验证,32.70172043010753,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801055.SI,工业金属,2026-05-21,潜伏观察,观察验证,32.47793417161212,财务景气有支持；强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801765.SI,广告营销,2026-05-21,退潮回避,回避,32.18072751322751,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 退潮回避
801995.SI,电视广播Ⅱ,2026-05-21,潜伏观察,观察验证,32.0481249359959,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 潜伏观察
801203.SI,一般零售,2026-05-21,退潮回避,回避,31.79763757047683,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801012.SI,农产品加工,2026-05-21,潜伏观察,观察验证,31.13568375149343,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801991.SI,航空机场,2026-05-21,退潮回避,回避,30.968142174432497,财务景气有支持,退潮回避,退潮回避,退潮回避 -> 退潮回避
801043.SI,冶钢原料,2026-05-21,潜伏观察,观察验证,30.434142771804062,强势后质量转弱,钝化转弱,潜伏观察,潜伏观察 -> 潜伏观察
801154.SI,医药商业,2026-05-21,退潮回避,回避,30.433909903567162,等待更多共振证据,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801016.SI,种植业,2026-05-21,潜伏观察,观察验证,30.11293906810036,强势后质量转弱,钝化转弱,钝化转弱,钝化转弱 -> 潜伏观察
801096.SI,商用车,2026-05-21,退潮回避,回避,29.803142404190794,财务景气有支持；强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 退潮回避
801743.SI,地面兵装Ⅱ,2026-05-21,退潮回避,回避,29.30429382147124,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 退潮回避
801053.SI,贵金属,2026-05-21,退潮回避,回避,29.037020745085265,财务景气有支持；强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 退潮回避
801764.SI,游戏Ⅱ,2026-05-21,退潮回避,回避,28.99053924271666,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801014.SI,饲料,2026-05-21,退潮回避,回避,28.379345878136203,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
