ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
002478.SZ,20171030,20170930,86.2696,15.5873,7.1902,2.7039
002138.SZ,20171030,20170930,20.5269,-12.6657,13.8194,6.4399
300598.SZ,20171030,20170930,-2.659,-26.8073,-20.2716,3.4113
002249.SZ,20171030,20170930,16.7454,-32.3343,2.119,1.7693
600225.SH,20171021,20170930,-64.8755,-17.9864,170.9417,-32.0039
600318.SH,20171021,20170930,-27.4136,-100.2678,325.6092,2.9128
600168.SH,20171028,20170930,6.2934,25.9202,25.7947,5.1655
300125.SZ,20171017,20170930,66.2221,399.9548,17.2783,-0.5504
002173.SZ,20171031,20170930,9.3358,252.3635,8.3037,2.5449
603198.SH,20171031,20170930,-0.9841,-31.2882,31.0924,10.929
600527.SH,20171028,20170930,50.7684,168.3037,6.8378,2.0933
601808.SH,20171027,20170930,22.0413,132.4084,15.2299,-1.3672
600650.SH,20171031,20170930,2.8146,14.1688,12.5534,5.2241
600828.SH,20171028,20170930,3.8449,45.3582,8.8123,14.009
600618.SH,20171027,20170930,-6.9325,699.2779,6.8401,27.4271
002074.SZ,20171027,20170930,32.6919,-4.6506,-10.1241,12.2388
300398.SZ,20171027,20170930,137.8479,45.4472,15.1294,5.9043
