ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20240930,57.09,2.4355,2.833,2.21,12.1359,11.4948,1.15,1.1377,1.1301,4.2159,4.2409,1821023.4607,1076265.7695,925247.9335,103962229.3714,61444012.7808
601318.SH,20240927,51.9,1.296,1.5076,1.38,11.0326,10.4498,1.0454,1.0343,1.0273,4.6375,4.665,1821023.4607,1076265.7695,925247.9335,94511117.6103,55858193.4371
601318.SH,20240926,50.42,1.5216,1.77,2.11,10.718,10.1518,1.0156,1.0048,0.998,4.7736,4.8019,1821023.4607,1076265.7695,925247.9335,91816002.8885,54265320.0982
601318.SH,20240925,47.36,1.285,1.4947,2.35,10.0676,9.5357,0.954,0.9438,0.9375,5.082,5.1122,1821023.4607,1076265.7695,925247.9335,86243671.0988,50971946.8435
601318.SH,20240924,46.5,1.1233,1.3067,2.92,9.8847,9.3625,0.9367,0.9267,0.9204,5.176,5.2067,1821023.4607,1076265.7695,925247.9335,84677590.9226,50046358.2818
601318.SH,20240923,44.09,0.2743,0.3191,0.67,9.3724,8.8773,0.8881,0.8786,0.8727,5.4589,5.4913,1821023.4607,1076265.7695,925247.9335,80288924.3823,47452557.7773
601318.SH,20240920,44.15,0.4952,0.576,1.38,9.3852,8.8894,0.8893,0.8798,0.8739,5.4515,5.4839,1821023.4607,1076265.7695,925247.9335,80398185.7899,47517133.7234
601318.SH,20240919,44.03,0.4334,0.5042,1.33,9.3597,8.8652,0.8869,0.8774,0.8715,5.4664,5.4988,1821023.4607,1076265.7695,925247.9335,80179662.9746,47387981.8311
601318.SH,20240918,43.7,0.402,0.4676,1.25,9.2895,8.7988,0.8803,0.8709,0.865,5.5076,5.5404,1821023.4607,1076265.7695,925247.9335,79578725.2326,47032814.1272
601318.SH,20240913,42.89,0.32,0.3722,0.97,9.1173,8.6357,0.8639,0.8547,0.849,5.6116,5.645,1821023.4607,1076265.7695,925247.9335,78103696.2294,46161038.8539
601318.SH,20240912,42.6,0.3817,0.444,1.12,9.0557,8.5773,0.8581,0.8489,0.8432,5.6499,5.6834,1821023.4607,1076265.7695,925247.9335,77575599.4258,45848921.7807
601318.SH,20240911,42.52,0.2547,0.2962,0.7,9.0387,8.5612,0.8565,0.8474,0.8417,5.6605,5.6941,1821023.4607,1076265.7695,925247.9335,77429917.549,45762820.5191
601318.SH,20240910,42.66,0.2728,0.3174,0.72,9.0684,8.5894,0.8593,0.8501,0.8444,5.6419,5.6754,1821023.4607,1076265.7695,925247.9335,77684860.8335,45913497.7269
601318.SH,20240909,42.68,0.3733,0.4342,0.94,9.0727,8.5934,0.8597,0.8505,0.8448,5.6393,5.6728,1821023.4607,1076265.7695,925247.9335,77721281.3027,45935023.0423
601318.SH,20240906,43.25,0.3626,0.4218,0.68,9.1939,8.7082,0.8712,0.8619,0.8561,5.5649,5.598,1821023.4607,1076265.7695,925247.9335,78759264.6753,46548494.5309
601318.SH,20240905,43.42,0.4335,0.5042,0.81,9.23,8.7424,0.8746,0.8653,0.8595,5.5432,5.5761,1821023.4607,1076265.7695,925247.9335,79068838.6636,46731459.7117
601318.SH,20240904,42.64,0.3809,0.4431,0.73,9.0642,8.5853,0.8589,0.8497,0.844,5.6446,5.6781,1821023.4607,1076265.7695,925247.9335,77648440.3642,45891972.4115
601318.SH,20240903,43.21,0.3421,0.398,0.66,9.1854,8.7001,0.8704,0.8611,0.8553,5.5701,5.6032,1821023.4607,1076265.7695,925247.9335,78686423.7368,46505443.9001
601318.SH,20240902,43.45,0.4768,0.5546,0.94,9.2364,8.7484,0.8752,0.8659,0.8601,5.5393,5.5722,1821023.4607,1076265.7695,925247.9335,79123469.3674,46763747.6848
601318.SH,20240830,44.03,1.0221,1.1889,2.09,9.3597,8.8652,0.8869,0.8774,0.8715,5.4664,5.4988,1821023.4607,1076265.7695,925247.9335,80179662.9746,47387981.8311
601318.SH,20240829,42.62,0.4431,0.5155,0.97,9.0599,8.5813,0.8585,0.8493,0.8436,5.6472,5.6807,1821023.4607,1076265.7695,925247.9335,77612019.895,45870447.0961
601318.SH,20240828,43.19,0.3237,0.3765,0.74,9.1811,8.6961,0.87,0.8607,0.8549,5.5727,5.6058,1821023.4607,1076265.7695,925247.9335,78650003.2676,46483918.5847
601318.SH,20240827,43.15,0.3156,0.3671,0.74,9.1726,8.688,0.8692,0.8599,0.8541,5.5778,5.611,1821023.4607,1076265.7695,925247.9335,78577162.3292,46440867.9539
601318.SH,20240826,43.35,0.4421,0.5142,1.12,9.2151,8.7283,0.8732,0.8639,0.8581,5.5521,5.5851,1821023.4607,1076265.7695,925247.9335,78941367.0213,46656121.1078
601318.SH,20240823,43.35,0.9238,1.0746,3.57,9.2151,8.7283,0.8732,0.8639,0.8581,5.5521,5.5851,1821023.4607,1076265.7695,925247.9335,78941367.0213,46656121.1078
601318.SH,20240822,41.71,0.2834,0.3296,0.94,8.8665,9.0399,0.8653,0.8312,0.8387,5.7704,5.8047,1821023.4607,1076265.7695,925247.9335,75954888.5458,44891045.2458
601318.SH,20240821,41.97,0.2194,0.2553,0.74,8.9218,9.0962,0.8707,0.8364,0.844,5.7347,5.7687,1821023.4607,1076265.7695,925247.9335,76428354.6456,45170874.3459
601318.SH,20240820,41.92,0.2729,0.3175,1.0,8.9111,9.0854,0.8696,0.8354,0.843,5.7415,5.7756,1821023.4607,1076265.7695,925247.9335,76337303.4725,45117061.0574
601318.SH,20240819,42.07,0.2675,0.3112,1.08,8.943,9.1179,0.8727,0.8384,0.846,5.721,5.755,1821023.4607,1076265.7695,925247.9335,76610456.9916,45278500.9229
601318.SH,20240816,41.61,0.2505,0.2914,1.02,8.8452,9.0182,0.8632,0.8292,0.8367,5.7843,5.8186,1821023.4607,1076265.7695,925247.9335,75772786.1997,44783418.6689
601318.SH,20240815,41.32,0.4963,0.5773,2.61,8.7836,8.9554,0.8572,0.8234,0.8309,5.8249,5.8595,1821023.4607,1076265.7695,925247.9335,75244689.3961,44471301.5957
601318.SH,20240814,40.49,0.1919,0.2232,0.92,8.6072,8.7755,0.84,0.8069,0.8142,5.9443,5.9796,1821023.4607,1076265.7695,925247.9335,73733239.9237,43578001.0071
601318.SH,20240813,40.78,0.1547,0.18,0.53,8.6688,8.8383,0.846,0.8127,0.82,5.902,5.9371,1821023.4607,1076265.7695,925247.9335,74261336.7273,43890118.0802
601318.SH,20240812,40.62,0.1414,0.1645,0.41,8.6348,8.8036,0.8427,0.8095,0.8168,5.9253,5.9605,1821023.4607,1076265.7695,925247.9335,73969972.9736,43717915.5571
601318.SH,20240809,40.61,0.2432,0.2829,0.68,8.6327,8.8015,0.8425,0.8093,0.8166,5.9267,5.9619,1821023.4607,1076265.7695,925247.9335,73951762.739,43707152.8994
601318.SH,20240808,40.82,0.2197,0.2555,0.58,8.6773,8.847,0.8468,0.8135,0.8208,5.8962,5.9312,1821023.4607,1076265.7695,925247.9335,74334177.6658,43933168.711
601318.SH,20240807,40.7,0.2785,0.324,0.65,8.6518,8.821,0.8443,0.8111,0.8184,5.9136,5.9487,1821023.4607,1076265.7695,925247.9335,74115654.8505,43804016.8187
601318.SH,20240806,40.9,0.5894,0.6856,1.61,8.6943,8.8643,0.8485,0.8151,0.8225,5.8847,5.9196,1821023.4607,1076265.7695,925247.9335,74479859.5426,44019269.9726
601318.SH,20240805,42.0,0.4,0.4653,1.17,8.9281,9.1027,0.8713,0.837,0.8446,5.7306,5.7646,1821023.4607,1076265.7695,925247.9335,76482985.3494,45203162.319
601318.SH,20240802,41.82,0.3079,0.3581,0.82,8.8899,9.0637,0.8676,0.8334,0.841,5.7552,5.7894,1821023.4607,1076265.7695,925247.9335,76155201.1265,45009434.4805
601318.SH,20240801,42.51,0.3021,0.3514,0.76,9.0366,9.2133,0.8819,0.8472,0.8548,5.6618,5.6954,1821023.4607,1076265.7695,925247.9335,77411707.3144,45752057.8614
601318.SH,20240731,42.56,0.5397,0.6278,1.5,9.0472,9.2241,0.8829,0.8481,0.8558,5.6552,5.6888,1821023.4607,1076265.7695,925247.9335,77502758.4874,45805871.1499
601318.SH,20240730,41.33,0.2759,0.3209,0.71,8.7857,8.9575,0.8574,0.8236,0.8311,5.8235,5.8581,1821023.4607,1076265.7695,925247.9335,75262899.6307,44482064.2534
601318.SH,20240729,41.32,0.284,0.3303,0.68,8.7836,8.9554,0.8572,0.8234,0.8309,5.8249,5.8595,1821023.4607,1076265.7695,925247.9335,75244689.3961,44471301.5957
601318.SH,20240726,41.09,0.4742,0.5516,1.09,8.7347,8.9055,0.8524,0.8189,0.8263,5.8575,5.8923,1821023.4607,1076265.7695,925247.9335,74825854.0002,44223760.4688
601318.SH,20240725,42.57,0.4093,0.4761,0.91,9.0493,9.2263,0.8566,0.8483,0.856,5.6538,2.1638,1821023.4607,1076265.7695,925247.9335,77520968.722,45816633.8076
601318.SH,20240724,42.56,0.3587,0.4173,0.69,9.0472,9.2241,0.8564,0.8481,0.8558,5.6552,2.1643,1821023.4607,1076265.7695,925247.9335,77502758.4874,45805871.1499
601318.SH,20240723,42.79,0.4272,0.4969,0.7,9.0961,9.274,0.861,0.8527,0.8605,5.6248,2.1527,1821023.4607,1076265.7695,925247.9335,77921593.8834,46053412.2769
601318.SH,20240722,43.0,0.4093,0.4762,0.69,9.1407,9.3195,0.8653,0.8569,0.8647,5.5973,2.1422,1821023.4607,1076265.7695,925247.9335,78304008.8101,46279428.0885
601318.SH,20240719,43.03,0.5675,0.6601,0.99,9.1471,9.326,0.8659,0.8575,0.8653,5.5934,2.1407,1821023.4607,1076265.7695,925247.9335,78358639.5139,46311716.0616
601318.SH,20240718,42.37,0.4772,0.5551,0.87,9.0068,9.1829,0.8526,0.8444,0.852,5.6805,2.174,1821023.4607,1076265.7695,925247.9335,77156764.0299,45601380.6537
601318.SH,20240717,42.29,0.7232,0.8413,1.54,8.9898,9.1656,0.851,0.8428,0.8504,5.6913,2.1781,1821023.4607,1076265.7695,925247.9335,77011082.153,45515279.3922
601318.SH,20240716,41.19,0.8734,1.0159,2.39,8.756,8.9272,0.8288,0.8208,0.8283,5.8433,2.2363,1821023.4607,1076265.7695,925247.9335,75007956.3462,44331387.0457
601318.SH,20240715,42.53,0.3297,0.3835,0.91,9.0408,9.2176,0.8558,0.8475,0.8552,5.6592,2.1658,1821023.4607,1076265.7695,925247.9335,77448127.7836,45773583.1768
601318.SH,20240712,42.68,0.4606,0.5357,1.25,9.0727,9.2501,0.8588,0.8505,0.8582,5.6393,2.1582,1821023.4607,1076265.7695,925247.9335,77721281.3027,45935023.0423
601318.SH,20240711,41.94,0.349,0.4059,0.97,8.9154,9.0897,0.8439,0.8358,0.8434,5.7388,2.1963,1821023.4607,1076265.7695,925247.9335,76373723.9418,45138586.3728
601318.SH,20240710,41.86,0.3357,0.3905,0.97,8.8984,9.0724,0.8423,0.8342,0.8418,5.7497,2.2005,1821023.4607,1076265.7695,925247.9335,76228042.0649,45052485.1113
601318.SH,20240709,41.52,0.3544,0.4122,0.93,8.8261,8.9987,0.8355,0.8274,0.8349,5.7968,2.2185,1821023.4607,1076265.7695,925247.9335,75608894.0883,44686554.7496
601318.SH,20240708,40.84,0.3155,0.367,0.78,8.6816,8.8513,0.8218,0.8139,0.8212,5.8933,2.2555,1821023.4607,1076265.7695,925247.9335,74370598.135,43954694.0264
601318.SH,20240705,41.12,0.4894,0.5693,1.28,8.7411,8.912,0.8274,0.8195,0.8269,5.8532,2.2401,1821023.4607,1076265.7695,925247.9335,74880484.704,44256048.4418
601318.SH,20240704,41.98,0.3018,0.3511,0.77,8.9239,9.0984,0.8447,0.8366,0.8442,5.7333,2.1942,1821023.4607,1076265.7695,925247.9335,76446564.8802,45181637.0036
601318.SH,20240703,42.27,0.2748,0.3196,0.71,8.9855,9.1613,0.8506,0.8424,0.85,5.694,2.1792,1821023.4607,1076265.7695,925247.9335,76974661.6838,45493754.0768
