ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801092.SI,20250110,汽车服务,459.57,465.82,444.74,445.9,-13.39,-2.91,17001.0,87057.0,58.68,1.66,2493012.0,5775730.961037
801092.SI,20250113,汽车服务,440.46,455.81,433.74,450.63,4.73,1.06,14105.0,71091.0,59.31,1.68,2519438.0,5837188.478727
801092.SI,20250114,汽车服务,452.0,472.64,448.8,471.55,20.92,4.64,19932.0,106384.0,62.06,1.76,2636422.0,6092978.073125
801092.SI,20250115,汽车服务,471.4,477.91,463.81,469.71,-1.84,-0.39,16715.0,86162.0,61.87,1.75,2626133.0,6066152.567476
801092.SI,20250116,汽车服务,470.51,481.48,465.77,473.44,3.73,0.79,17630.0,91013.0,62.38,1.77,2646994.0,6111786.479004
801092.SI,20250117,汽车服务,470.63,477.74,464.4,469.72,-3.72,-0.79,13320.0,70207.0,61.86,1.75,2626172.0,6084035.145518
801092.SI,20250120,汽车服务,472.54,478.19,463.73,470.08,0.36,0.08,12881.0,69004.0,61.87,1.75,2628192.0,6085119.615451
801092.SI,20250121,汽车服务,474.87,480.92,465.2,472.2,2.12,0.45,20958.0,104462.0,62.2,1.76,2640038.0,6128781.291814
801092.SI,20250122,汽车服务,467.01,468.67,454.9,459.49,-12.71,-2.69,14941.0,85598.0,60.46,1.71,2568981.0,5990616.932203
801092.SI,20250123,汽车服务,463.01,474.99,457.3,460.07,0.59,0.13,17081.0,95988.0,60.53,1.72,2572255.0,5981840.316876
801092.SI,20250124,汽车服务,460.2,474.62,455.67,470.97,10.9,2.37,13830.0,85706.0,62.03,1.76,2633192.0,6115865.06982
801092.SI,20250127,汽车服务,473.33,480.77,463.78,467.93,-3.04,-0.65,15720.0,93687.0,61.64,1.75,2616173.0,6065211.216897
801092.SI,20250205,汽车服务,469.07,477.63,464.65,472.49,4.56,0.97,13753.0,84053.0,62.24,1.77,2641656.0,6110908.958915
801092.SI,20250206,汽车服务,471.3,489.31,466.54,488.43,15.94,3.37,19966.0,131506.0,64.31,1.83,2731360.0,6317861.357937
801092.SI,20250207,汽车服务,491.95,507.83,486.87,498.33,9.9,2.03,26005.0,179898.0,65.56,1.86,2786719.0,6452190.841339
801092.SI,20250210,汽车服务,499.81,508.14,493.22,505.19,6.86,1.38,22612.0,143170.0,66.22,1.88,2825068.0,6571230.0
801092.SI,20250211,汽车服务,505.28,510.61,495.62,499.92,-5.27,-1.04,19927.0,123832.0,65.7,1.86,2795587.0,6490743.0
801092.SI,20250212,汽车服务,498.31,508.12,493.13,505.53,5.61,1.12,19406.0,114347.0,66.47,1.89,2826985.0,6548533.0
801092.SI,20250213,汽车服务,507.09,510.27,497.55,500.29,-5.24,-1.04,24319.0,136659.0,65.84,1.87,2797672.0,6478433.0
801092.SI,20250214,汽车服务,498.09,511.28,493.52,500.93,0.64,0.13,20957.0,127864.0,65.91,1.87,2801240.0,6513472.0
801092.SI,20250217,汽车服务,503.83,514.27,497.66,508.07,7.14,1.43,21374.0,127789.0,66.88,1.9,2841162.0,6590856.0
801092.SI,20250218,汽车服务,507.03,512.28,490.18,492.33,-15.74,-3.1,21683.0,122933.0,64.84,1.84,2753145.0,6406054.0
801092.SI,20250219,汽车服务,493.62,505.45,490.74,502.53,10.2,2.07,16904.0,111644.0,66.17,1.88,2810189.0,6522259.0
801092.SI,20250220,汽车服务,503.07,509.5,497.37,503.96,1.43,0.28,16917.0,107998.0,66.39,1.88,2818180.0,6521031.0
801092.SI,20250221,汽车服务,503.63,508.97,494.85,504.01,0.05,0.01,17420.0,113062.0,66.38,1.88,2818455.0,6531707.0
801092.SI,20250224,汽车服务,504.29,511.37,497.39,503.97,-0.04,-0.01,19234.0,116671.0,66.32,1.88,2818250.0,6537050.0
801092.SI,20250225,汽车服务,500.4,513.26,495.5,505.2,1.24,0.25,19684.0,113473.0,66.5,1.89,2825163.0,6555828.0
801092.SI,20250226,汽车服务,505.8,519.88,503.92,514.08,8.87,1.76,20346.0,143191.0,67.72,1.92,2874787.0,6653328.0
